1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,run,cl
1.667224519140878339e-02,1.112671185174501053e-02,2.455612963271196908e-02,3.482002742495046710e-02,3.154103505616507013e-25,8.806921849139708036e-05,1.428792150406671575e-02,5.342633826322073370e-02,4.805507562691877997e-08,5.586410474000650510e-19,1.560896260026077044e-02,2.293790046152281714e-02,6.073438113928660009e-02,3.379978435110471413e-02,4.575185845438822091e-02,5.172435982455002995e-02,2.341829685032139659e-28,6.104401247731500862e-02,3.053419786882941370e-02,7.607462701197036797e-03,3.609632508814474486e-20,7.304716693960324261e-03,3.078597368216812527e-02,9.254585619848121290e-06,2.708421957724206630e-02,4.528168366476252593e-02,7.684932477660522468e-03,3.214801039850446324e-02,4.007874481989362470e-02,2.939147634891002754e-05,1.107798735358271441e-15,1.649746365417479848e-05,1.526717676848847287e-02,1.487427489046453321e-07,2.607806994383244795e-10,3.054340778693730857e-02,2.614662786865913756e-20,2.339495345436535048e-02,1.526695839741798108e-02,6.106998181690045241e-02,5.761381104754479711e-03,7.944473434940335990e-03,1.485538815395047562e-20,5.465781127796532542e-11,5.029008153591675253e-05,1.905969591575252739e-02,3.812921956127465067e-02,5.200697954423151632e-20,1.526754259853244436e-02,1.776004085166833011e-19,7.624133319838676329e-03,3.391379048959860342e-06,7.930124933383551206e-03,6.209760785627020488e-31,3.467584398167099011e-32,1.207321439539757804e-02,7.617178227041301181e-03,7.635881593550813661e-11,2.625095952808919683e-14,4.368154579918608754e-03,7.637741278237727971e-03,7.659999849099070576e-38,1.526717566592694642e-02,3.057982030579322122e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.138767019479857921e-10,1.132662931375191717e-18,1.064438924680634604e-07,5.265149533301144436e-02,2.752948049207415441e-08,2.057632599104371792e-03,7.954636368332565141e-03,4.051365403675408206e-02,2.791167605964848169e-08,8.870096489019346740e-13,7.999921506275865854e-07,4.742013947551057827e-05,7.475750057628693934e-02,4.241993009637851086e-02,4.429404505449083262e-02,8.424428574616504850e-02,6.572592098230004916e-08,6.156340317851516364e-02,1.089314141230068173e-01,2.978659008769778127e-02,8.376875083329777746e-03,2.709896635349226889e-08,4.400345513651510859e-02,1.016680495969301079e-09,6.375683337158286577e-03,8.163580353035086386e-08,1.265146982989241373e-02,2.019788763365134437e-02,1.818106709523800366e-02,1.775365555327204186e-07,2.427588640790114171e-06,7.808708780578007301e-33,3.641837954933752758e-02,6.350491403948111714e-03,9.120192362259999755e-08,2.426659297550372296e-02,3.533757144266381190e-06,7.398338236031015296e-09,5.738315421137581140e-02,8.274733678194720610e-02,4.340791639076979059e-06,1.091179415873543599e-09,1.308965482894939665e-08,3.488985694465488751e-27,6.043967576754992639e-04,1.295110187593459990e-17,2.423874596867802225e-02,2.326302910908792131e-08,6.020207576542017762e-03,2.349736863489373363e-07,4.910034586597509623e-10,1.319260856517721562e-21,4.350853883348310822e-15,1.599863382417085700e-15,2.119649002795390445e-08,4.240890573073160391e-02,1.027407071472752976e-17,6.060703490966206676e-03,7.940070777369686458e-06,7.862180311305852294e-07,4.953184599592911144e-03,6.010288951218557829e-03,1.320540010219292161e-02,3.030303030785194002e-02,1.000000000000000000e+00,2.000000000000000000e+00
4.060588737390479798e-03,3.862016344719328403e-03,7.360087330532340613e-03,4.992632663914513269e-02,9.737835250337064904e-04,1.579555082303181262e-03,1.063364403758629458e-02,4.037683309807484772e-02,1.484786783820187016e-03,1.128719841088176093e-02,1.601893495014580486e-05,1.242447086758328469e-02,4.650568191763708448e-02,6.852836409210948110e-02,5.888679597647568376e-02,3.585074871511343547e-02,1.103063932565352678e-03,2.924417558984229032e-02,6.275063918686657471e-02,1.243699992842562350e-02,9.199868935689952537e-03,2.529710213462975279e-03,7.123759850566070695e-02,4.641185075664666301e-03,2.228845292324957341e-03,1.816813072987859701e-03,6.433427039603480460e-03,1.127055903284711683e-02,1.357567157696047341e-02,1.767515456022035827e-05,8.295924967587202945e-04,2.636917166625104680e-03,3.550224828249361197e-02,1.764184780710139437e-11,4.326427670579938677e-03,4.419366236097530508e-03,1.538193275723090392e-02,2.700242230332716567e-11,4.542077824088759652e-02,7.271130277957967014e-02,7.930246449166105684e-05,1.408227670428135320e-02,3.267205842009571898e-02,3.907528033053607984e-03,3.011651186123343472e-03,6.423048822459977505e-03,1.913202882499828728e-02,7.005861589444424233e-06,9.214205830053008583e-03,5.186689986075709337e-03,1.208715656896087315e-02,5.935034562843851877e-03,3.487562625201286182e-03,2.323665354623590321e-02,4.381127795983994362e-06,5.080569771348519836e-02,1.213983348035390947e-03,2.865138476798273753e-03,2.040343456424755532e-06,2.544722176205097691e-02,1.687431853174987201e-08,1.597869191162138228e-03,1.209743754729992148e-02,4.032311473417214513e-03,1.000000000000000000e+00,3.000000000000000000e+00
4.770534292478245315e-11,4.698040949711364770e-10,6.119612114846283493e-03,1.083825356227583747e-01,4.171679879146661824e-05,1.003940205455174334e-07,2.589473186407238378e-02,7.233568798968220692e-02,5.659422978873314978e-04,2.832555588192593038e-02,1.639011629411147877e-07,5.472171090831651208e-02,3.506286773202500762e-02,3.687916214152930222e-02,1.010311337375945917e-01,2.661523367323184730e-02,6.339073269251022276e-03,9.722295454852505209e-03,6.593031355082550060e-02,1.684306380305925255e-08,4.672523689509841316e-07,2.663337860908705432e-03,4.105390237614733873e-02,7.600852312016068753e-04,1.558661285504892143e-13,2.271429163732837514e-02,4.235599899677854020e-05,4.921068241357504959e-03,3.088119643369540909e-02,1.222756212968786783e-10,2.601865841825051371e-04,1.615407526370137058e-03,3.068525891742531278e-02,3.000971779602226852e-08,2.013444040360396533e-03,2.315095125475874829e-02,1.269351964327570907e-02,1.467383713817351854e-03,1.949249685187650488e-02,2.536317955457314394e-02,4.367229859045384220e-07,9.031298721179215408e-03,1.336577061101719248e-02,5.132579815115503678e-07,8.897710277947928643e-04,3.331640264331207392e-03,1.265861409055306711e-02,1.450548301021945413e-08,3.754535536467296097e-02,6.584054781144912417e-03,7.130359686640680254e-03,4.828912692708383150e-03,1.703479532873239883e-06,4.763988141164305322e-03,1.228267408355835678e-02,5.641862874799992433e-02,1.806825477101411222e-07,4.518874491149620087e-03,2.867004029350182803e-04,1.992145979673110382e-07,2.008235471006337147e-09,2.745059399569313357e-05,7.860599380416373114e-03,2.072583910323315404e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.454507119386859320e-06,1.186540509567880404e-05,3.446962469733896097e-05,1.006514306684936633e-01,8.792283198787434812e-12,8.030594001265579956e-06,1.454546685109983897e-05,4.110151678876799997e-02,6.033357326219480441e-09,1.352108542290935496e-04,1.337079000719682528e-06,1.828613829398030273e-03,7.993658448697619481e-04,1.505489922850334998e-02,1.231027429349234870e-01,1.179468877458390574e-01,1.006101376873413264e-05,3.796142064430930996e-02,2.816802915312139471e-02,9.515621862252327792e-05,2.226063033972631533e-04,9.157064000087789840e-13,4.542968019704437393e-02,4.480393348638132098e-06,3.626826808029912877e-05,9.771384441286603759e-03,2.201760006197399236e-04,6.136233225791394574e-02,9.110742876428578815e-03,1.522334821422393453e-04,1.645011526781859132e-10,4.980217506875981616e-03,4.272517447190903733e-02,9.404568875422300545e-06,3.902668953793153622e-05,2.567059022195364304e-02,1.276749621264732414e-06,2.700894680389798446e-03,5.981948399453993620e-02,7.904394797296533659e-02,4.721635094247515134e-04,5.563407691575246103e-03,7.610070016062104800e-03,2.972401484705032106e-06,2.398364205124347574e-09,1.234597013248520461e-02,6.506463587876953371e-03,5.895127019826976152e-11,1.598395918552381056e-02,3.199931810377365515e-02,1.364448277432918962e-03,1.457321158973915446e-11,4.619153813478072529e-04,2.903715102392946841e-03,1.491501141789919042e-05,7.820749991270396773e-02,2.514400098605142520e-06,9.377197000357287711e-06,1.308019295951837148e-03,1.416207020962584155e-02,9.412185832699519415e-10,2.608393644086055190e-05,6.255495031215538640e-03,6.572653316949409776e-03,1.000000000000000000e+00,5.000000000000000000e+00
2.101067840067984713e-04,2.726015610476699089e-02,1.812521422589028972e-02,4.468532244542552240e-02,4.776840561461856037e-04,1.043218944275773946e-03,1.453331655274001447e-02,3.085784951833401429e-02,1.221744502333027213e-02,1.532739295547585513e-03,1.029741540918827081e-02,1.173784923672644906e-02,1.587017263263096681e-02,6.152661480216469261e-03,3.343511557566034020e-02,1.137341669175092329e-01,2.052910602822814040e-02,2.637460960979749747e-02,1.453060023461487903e-02,9.523877578569459740e-03,5.602568872146967971e-03,7.392372622392224049e-03,2.450814009068309415e-02,7.045052396541635897e-03,5.673385302191262872e-03,2.709998949544739286e-02,1.433198146662317471e-02,3.380139991455268465e-03,2.641290812978615635e-02,3.888450170283641594e-02,4.522548671032452193e-03,1.071573252931095309e-02,1.633311643173468095e-02,3.588805493663895386e-03,1.926461822061534962e-02,9.217782572932462642e-03,1.570885040311195691e-02,4.830084581176507380e-02,2.379441090445606061e-02,1.356343115394289742e-02,1.938433935968891922e-05,3.298571084436928424e-02,1.889546861436831524e-02,1.324863877465937839e-02,4.154578170506602677e-03,1.999113091848409712e-02,9.920939544880857594e-03,1.351863097446689196e-03,1.262141114217408405e-02,8.222416287493004849e-03,6.703592386367467071e-03,1.891244823888591289e-02,1.814746828840055939e-06,8.056183123708917856e-03,1.231329868351256282e-02,2.460380812570091974e-02,1.000173108986713785e-03,8.824698457196517368e-03,8.261433940539385625e-04,2.371584824713716955e-03,4.526253128746083801e-05,3.058570466895165624e-02,2.043730272798676903e-02,5.436633331802020498e-03,1.000000000000000000e+00,6.000000000000000000e+00
1.824522128659263227e-05,1.254689985640210497e-22,2.130808492594539125e-02,3.508266771303205495e-02,1.282789985541071742e-06,4.794440876363790411e-27,5.104874821137795476e-03,3.200433613089974372e-02,2.720480755278809060e-03,4.002546159509909676e-03,1.091694739253464766e-14,2.973860552411150288e-03,7.284670110814926713e-02,3.727841506200862270e-02,6.399673294396213130e-02,1.460401595977383615e-01,1.387614200530679857e-03,1.013222022889236767e-01,4.266659382591715677e-02,1.112420947070284506e-05,9.115281492494046664e-03,3.201215583461547616e-03,5.825066662691119612e-02,1.279088540851096821e-03,5.788350568938596498e-17,4.378552370519413726e-03,5.278187595849808018e-03,3.610250904888279155e-02,7.999999999999589037e-03,5.940601773966431717e-32,4.510119073206292392e-10,1.301922980786185613e-71,4.799946290450069625e-02,3.997593349264046310e-03,6.335095863702657452e-47,4.240089946169867813e-02,2.666666662360180420e-03,2.666647541569582436e-03,3.984606360463927022e-02,5.293110980524134979e-02,8.964330539248437863e-14,2.000611519904073374e-42,5.710812267311092538e-03,5.312040618030242078e-03,3.109629110500185430e-03,5.557036551104178231e-40,1.333333332693031024e-02,1.156277432255772778e-22,7.999934280053777255e-03,2.666795501055625826e-03,2.932402958389383665e-03,1.831240361588991771e-26,2.308292781992806320e-07,2.196878271257807746e-33,2.579030969402403596e-22,4.266670214371225817e-02,1.554051641636736213e-73,1.010776248625966661e-35,1.022926211766616619e-11,2.721584942299618091e-03,2.837570263812146414e-22,5.371260619276413212e-39,5.333333333333333155e-03,2.133333333333333262e-02,1.000000000000000000e+00,7.000000000000000000e+00
1.933817639526901162e-09,1.897276162688710406e-27,2.507183802353182833e-02,4.019138522455195650e-02,2.060382712467162449e-03,4.806717382741898130e-08,9.671664677367936003e-03,3.708577598571194400e-02,1.381470430403396225e-10,4.898785487627143644e-03,4.109051502331395998e-11,8.886134746770387621e-05,6.482680100223607578e-02,4.441380737818010488e-02,6.152451352783280120e-02,7.410369310085732075e-02,1.091978938247028207e-02,1.370930148858857944e-01,6.558276815370160662e-02,4.440907273514006380e-04,6.569361235435099401e-14,5.591079073452253883e-10,4.155738362991996671e-02,1.053427651075087042e-08,3.122628166342729678e-13,6.136098946543363207e-03,6.761282439125918323e-03,4.182659002320289476e-02,3.590613122409041374e-02,4.367059971567578518e-03,1.230500024611995416e-11,5.093513753508058066e-03,2.767572186539640419e-02,5.059307917166830524e-09,6.124201992732667854e-16,6.996946808533728579e-02,2.593851080519256875e-06,6.347863067096994688e-20,2.164044321090542733e-02,3.631640891876811855e-02,1.373377628675222383e-10,9.892735586938198721e-04,3.911405519924401886e-03,4.804089791757774029e-03,4.360499689814216761e-12,1.111427815945828133e-23,2.051747067275092040e-02,2.449385060972424547e-08,7.308598884776812930e-03,2.136086438281834069e-18,5.162344071237838679e-03,2.559888563097058579e-15,1.825435080967860086e-16,1.170288782865384382e-02,4.425307208374246285e-05,3.469715938561086788e-02,3.042192178166255607e-03,1.039514458555658042e-25,1.136448837784782119e-07,6.949227148381517671e-03,4.577147696870303079e-16,1.873226250833242872e-18,5.128205136762951054e-03,2.051282058847156073e-02,1.000000000000000000e+00,8.000000000000000000e+00
2.108439426406269056e-04,3.894834878358132985e-03,7.198948318745041798e-03,1.029435173557098106e-02,2.979730242915344633e-05,3.491281580920913203e-04,1.872046636866028790e-02,1.675351786589726957e-02,1.216189998405456298e-04,3.144560810110191146e-02,1.782791679707661738e-05,1.482608297791737813e-02,2.088186294107255078e-02,2.240910651310235382e-02,4.526578856236052745e-02,5.040082887558410690e-02,7.299944459161895678e-11,6.690775041174847060e-02,3.494026537195244614e-02,1.358710239934427151e-18,4.051782731120669515e-03,6.625934514486763079e-03,3.090489917402596681e-02,4.330404959518834746e-06,1.469790576602970564e-02,3.333686233384868663e-02,5.030558501676361122e-03,2.972675891036851564e-02,2.622607874889649679e-02,1.966214772273323225e-02,2.731759699975039898e-05,1.168952939509050083e-02,4.948134779197065763e-02,4.361514886807958979e-06,2.007418565722950653e-03,3.587363918991487433e-02,2.815979681199302833e-03,1.017345831864220924e-05,9.067753191489816636e-03,2.710362457065130029e-02,1.007570637151831983e-02,1.121771459143167463e-02,6.269491301966437025e-06,5.434553803272382938e-02,2.458102798271435963e-02,9.827117919745201671e-03,2.183351441824434372e-02,8.747227483786073265e-04,7.958482181557511009e-04,5.597829245205823007e-03,1.309113566308463261e-02,1.680162936315064692e-02,7.023048629674682113e-07,1.511073448826720685e-02,1.692095998919818187e-05,6.143921269004944119e-02,5.326634296920809697e-02,4.183356015543340133e-05,5.772053760185682064e-07,1.090921467666470682e-09,2.587834355606886960e-02,4.339247167261468851e-04,1.782500505481596220e-02,3.921314278643124596e-03,2.000000000000000000e+00,1.000000000000000000e+00
9.360027881487715390e-21,1.492207630921195914e-27,1.602847122440847344e-02,4.575175029631349533e-02,9.093830928508854993e-05,3.102051544588133102e-29,1.548485758114501350e-02,4.598724407995182645e-02,3.022644126100920857e-06,9.903553875141140814e-03,6.981441476891324065e-12,2.676489405117667231e-05,5.461687526298541345e-02,5.942273987439292832e-02,5.426357168894818672e-02,5.907360739531308108e-02,2.040075293220279355e-03,4.264536446991522983e-02,1.192406470206891916e-01,4.895584872734399205e-03,2.221157336071799809e-03,5.742243940808623021e-03,6.786321697887059967e-02,1.616270162157458587e-29,1.974037442262186501e-06,2.825456822480892916e-03,5.695852907625625211e-03,4.007996176968202373e-02,4.181930199563848455e-02,1.562659165892459207e-19,1.721863049605325182e-03,7.125547358519306561e-03,4.456764749031736500e-02,2.606382373194339117e-03,4.231464373142404881e-03,1.935077741712324870e-02,1.251350825935481481e-17,4.151495116485931190e-28,6.202323855715626694e-02,5.704774281668243546e-02,6.581994351074654188e-08,2.583623098826491864e-03,9.116381790729009837e-03,4.431941776994672064e-07,1.230290530387502621e-04,1.958544484823751958e-15,2.842297872711445350e-02,1.826350639207229287e-10,2.629028997414923925e-03,2.206927928301063210e-03,5.828304580194472624e-03,2.584940638860441092e-03,2.646210835866857902e-03,7.887450725202552091e-17,6.653551664397954839e-06,3.000341741534070725e-02,1.283331926973893013e-03,2.561669553051899341e-03,6.933640295282986447e-07,5.851810353560548826e-06,1.698314848360886435e-24,7.845611332919874559e-03,7.751938184597932310e-03,1.254291071721725078e-28,2.000000000000000000e+00,2.000000000000000000e+00
